customer_id,age_range,marital_status,family_size,income_bracket
1,26-35,Married,2,12
2,18-25,Unknown,2,7
3,60+,Unknown,3,4
4,36-45,Divorced,1,12
5,60+,Divorced,4,10
6,36-45,Single,5,4
7,36-45,Unknown,1,7
8,18-25,Single,5,1
9,46-60,Married,5,12
10,60+,Single,4,2
11,46-60,Divorced,1,6
12,36-45,Single,4,7
13,18-25,Unknown,2,11
14,60+,Married,1,6
15,46-60,Unknown,2,6
16,46-60,Single,3,5
17,36-45,Divorced,2,9
18,18-25,Divorced,2,6
19,18-25,Unknown,2,12
20,26-35,Divorced,1,12
21,60+,Married,5,9
22,18-25,Unknown,1,11
23,26-35,Divorced,4,12
24,46-60,Divorced,3,9
25,26-35,Married,3,12
26,26-35,Single,2,6
27,26-35,Unknown,4,11
28,18-25,Married,4,10
29,60+,Unknown,3,4
30,46-60,Single,2,11
31,26-35,Divorced,3,1
32,46-60,Married,1,9
33,36-45,Married,5,4
34,36-45,Single,2,4
35,60+,Unknown,3,11
36,18-25,Divorced,1,5
37,60+,Single,4,12
38,60+,Unknown,4,9
39,18-25,Unknown,1,6
40,46-60,Married,3,2
41,60+,Divorced,5,8
42,26-35,Married,5,3
43,18-25,Divorced,4,10
44,18-25,Divorced,2,12
45,18-25,Single,5,7
46,60+,Married,1,10
47,60+,Married,3,7
48,18-25,Divorced,2,5
49,18-25,Single,2,10
50,18-25,Married,5,1
51,18-25,Single,5,9
52,46-60,Married,1,8
53,46-60,Divorced,2,4
54,18-25,Single,5,9
55,60+,Unknown,1,9
56,18-25,Unknown,4,11
57,46-60,Married,4,7
58,18-25,Single,3,1
59,18-25,Unknown,5,1
60,46-60,Single,2,4
61,60+,Married,2,2
62,18-25,Married,4,8
63,60+,Married,3,10
64,36-45,Unknown,3,8
65,18-25,Unknown,5,4
66,60+,Divorced,5,5
67,46-60,Unknown,2,3
68,36-45,Married,2,8
69,18-25,Married,3,6
70,18-25,Unknown,5,2
71,60+,Divorced,5,2
72,36-45,Unknown,2,9
73,60+,Single,4,8
74,60+,Married,3,5
75,18-25,Divorced,2,4
76,46-60,Divorced,3,4
77,26-35,Married,5,7
78,46-60,Married,3,4
79,46-60,Divorced,5,12
80,36-45,Divorced,3,2
81,36-45,Single,1,11
82,46-60,Single,2,11
83,26-35,Divorced,1,2
84,46-60,Divorced,4,12
85,18-25,Single,1,6
86,46-60,Married,3,3
87,26-35,Unknown,1,4
88,36-45,Married,3,1
89,18-25,Single,4,9
90,36-45,Single,4,11
91,60+,Married,1,4
92,18-25,Married,5,2
93,46-60,Married,1,2
94,60+,Unknown,3,9
95,60+,Single,3,1
96,46-60,Single,5,1
97,18-25,Married,2,11
98,26-35,Single,1,2
99,26-35,Unknown,5,1
100,36-45,Married,2,4
101,36-45,Married,3,1
102,60+,Single,2,4
103,26-35,Single,5,1
104,46-60,Single,2,9
105,26-35,Married,3,4
106,60+,Divorced,4,9
107,46-60,Single,3,5
108,60+,Divorced,1,5
109,46-60,Married,1,2
110,46-60,Single,1,1
111,18-25,Divorced,5,3
112,36-45,Married,2,5
113,18-25,Single,5,7
114,60+,Divorced,5,10
115,36-45,Married,3,4
116,26-35,Single,3,12
117,36-45,Single,2,12
118,26-35,Divorced,2,12
119,36-45,Single,3,3
120,46-60,Married,3,7
121,46-60,Married,5,5
122,26-35,Single,5,8
123,60+,Unknown,4,5
124,18-25,Unknown,5,4
125,46-60,Single,1,3
126,18-25,Divorced,4,6
127,26-35,Married,5,11
128,46-60,Unknown,2,6
129,46-60,Unknown,4,8
130,26-35,Divorced,5,10
131,36-45,Single,4,6
132,18-25,Divorced,4,11
133,26-35,Unknown,5,4
134,18-25,Unknown,4,11
135,36-45,Divorced,4,8
136,60+,Unknown,4,12
137,26-35,Single,2,6
138,26-35,Single,1,7
139,26-35,Single,3,5
140,26-35,Divorced,5,11
141,18-25,Married,5,2
142,60+,Married,4,11
143,60+,Unknown,2,8
144,60+,Divorced,5,8
145,46-60,Married,5,2
146,26-35,Unknown,5,4
147,26-35,Married,2,6
148,26-35,Unknown,1,7
149,36-45,Divorced,1,7
150,26-35,Married,5,6
151,60+,Unknown,3,11
152,60+,Single,3,6
153,46-60,Unknown,3,7
154,26-35,Single,2,1
155,60+,Single,1,12
156,26-35,Unknown,4,11
157,18-25,Single,2,4
158,18-25,Single,2,7
159,26-35,Unknown,5,8
160,46-60,Single,1,7
161,46-60,Unknown,4,4
162,46-60,Married,3,1
163,60+,Single,4,4
164,36-45,Unknown,2,4
165,18-25,Unknown,2,6
166,36-45,Single,3,7
167,46-60,Married,5,4
168,18-25,Single,1,1
169,18-25,Married,5,4
170,46-60,Single,1,7
171,18-25,Single,4,8
172,26-35,Unknown,3,7
173,46-60,Single,3,2
174,18-25,Unknown,4,3
175,26-35,Unknown,5,11
176,26-35,Divorced,3,4
177,46-60,Unknown,3,8
178,46-60,Divorced,2,3
179,36-45,Unknown,4,8
180,36-45,Divorced,4,10
181,26-35,Married,2,7
182,36-45,Unknown,1,7
183,60+,Divorced,5,5
184,60+,Unknown,3,11
185,60+,Divorced,3,8
186,60+,Unknown,1,10
187,26-35,Unknown,1,1
188,18-25,Unknown,3,6
189,60+,Single,4,11
190,46-60,Unknown,1,12
191,36-45,Divorced,1,1
192,60+,Married,2,6
193,18-25,Unknown,3,4
194,18-25,Divorced,2,9
195,26-35,Single,5,10
196,18-25,Unknown,3,12
197,36-45,Unknown,3,4
198,46-60,Unknown,4,10
199,26-35,Married,2,3
200,18-25,Divorced,1,9
201,36-45,Unknown,5,9
202,36-45,Married,5,7
203,26-35,Married,1,2
204,18-25,Married,2,7
205,46-60,Single,2,5
206,36-45,Married,4,4
207,60+,Divorced,5,2
208,60+,Divorced,5,8
209,36-45,Unknown,3,2
210,60+,Single,5,3
211,60+,Single,2,10
212,46-60,Divorced,2,1
213,26-35,Married,3,9
214,46-60,Unknown,1,7
215,46-60,Divorced,1,10
216,60+,Divorced,5,1
217,26-35,Divorced,2,2
218,36-45,Divorced,4,2
219,36-45,Divorced,4,9
220,18-25,Divorced,2,9
221,60+,Unknown,4,3
222,18-25,Married,3,4
223,46-60,Unknown,2,10
224,26-35,Divorced,2,10
225,26-35,Single,5,10
226,26-35,Unknown,5,9
227,26-35,Single,4,1
228,18-25,Divorced,2,11
229,18-25,Married,4,7
230,60+,Single,2,6
231,46-60,Divorced,4,11
232,18-25,Unknown,4,5
233,36-45,Divorced,3,8
234,36-45,Married,1,7
235,46-60,Married,3,11
236,26-35,Married,5,11
237,46-60,Single,2,1
238,36-45,Single,5,1
239,46-60,Single,4,11
240,60+,Unknown,2,6
241,46-60,Single,1,9
242,60+,Married,2,1
243,26-35,Single,1,11
244,26-35,Divorced,5,5
245,18-25,Single,3,7
246,36-45,Single,5,5
247,60+,Divorced,5,8
248,36-45,Single,4,8
249,46-60,Married,3,8
250,26-35,Married,1,11
251,46-60,Married,5,8
252,26-35,Married,3,1
253,60+,Married,4,10
254,60+,Married,5,1
255,46-60,Single,5,8
256,46-60,Unknown,1,1
257,46-60,Divorced,1,4
258,60+,Unknown,4,4
259,26-35,Single,5,10
260,26-35,Divorced,3,2
261,18-25,Married,4,1
262,18-25,Married,2,4
263,60+,Divorced,1,8
264,46-60,Divorced,1,11
265,60+,Unknown,2,5
266,18-25,Divorced,5,1
267,36-45,Unknown,1,6
268,36-45,Divorced,5,5
269,46-60,Married,2,4
270,60+,Divorced,1,12
271,60+,Single,5,3
272,46-60,Single,2,11
273,26-35,Single,4,4
274,60+,Unknown,3,8
275,60+,Married,3,10
276,60+,Divorced,4,11
277,36-45,Divorced,4,4
278,18-25,Single,4,11
279,26-35,Unknown,4,5
280,18-25,Married,1,9
281,36-45,Divorced,3,3
282,60+,Divorced,4,12
283,36-45,Divorced,5,7
284,26-35,Single,1,3
285,26-35,Divorced,4,4
286,46-60,Divorced,3,12
287,18-25,Divorced,2,5
288,46-60,Married,4,11
289,26-35,Divorced,5,1
290,60+,Divorced,3,2
291,18-25,Married,4,4
292,46-60,Divorced,1,10
293,36-45,Divorced,4,5
294,18-25,Divorced,4,7
295,60+,Married,1,11
296,36-45,Married,2,4
297,60+,Single,4,1
298,26-35,Married,1,2
299,36-45,Single,1,9
300,60+,Divorced,5,11
301,36-45,Married,3,2
302,26-35,Divorced,5,6
303,36-45,Divorced,1,5
304,18-25,Married,4,10
305,18-25,Married,2,12
306,26-35,Unknown,3,1
307,46-60,Unknown,2,3
308,26-35,Single,3,1
309,46-60,Unknown,4,9
310,26-35,Unknown,3,1
311,60+,Married,2,8
312,36-45,Unknown,5,3
313,60+,Unknown,2,9
314,18-25,Single,5,10
315,36-45,Divorced,5,3
316,18-25,Married,2,9
317,60+,Divorced,3,5
318,36-45,Married,2,7
319,18-25,Married,5,8
320,36-45,Married,4,8
321,18-25,Divorced,1,5
322,46-60,Divorced,4,8
323,18-25,Unknown,4,1
324,46-60,Single,3,2
325,46-60,Married,2,9
326,26-35,Married,4,1
327,18-25,Married,3,12
328,18-25,Married,4,3
329,26-35,Single,3,11
330,18-25,Unknown,5,3
331,46-60,Single,1,4
332,18-25,Unknown,3,8
333,46-60,Single,4,8
334,18-25,Single,4,1
335,46-60,Single,5,3
336,26-35,Unknown,1,1
337,36-45,Unknown,5,9
338,36-45,Married,4,1
339,26-35,Married,4,5
340,46-60,Married,1,5
341,60+,Divorced,3,8
342,26-35,Divorced,4,6
343,18-25,Single,3,9
344,26-35,Single,4,9
345,18-25,Single,4,12
346,18-25,Divorced,5,1
347,46-60,Unknown,1,1
348,36-45,Divorced,2,4
349,46-60,Unknown,1,3
350,60+,Single,2,7
351,46-60,Unknown,1,9
352,18-25,Divorced,2,7
353,36-45,Married,3,9
354,46-60,Single,1,2
355,18-25,Single,4,7
356,60+,Single,1,6
357,18-25,Single,2,5
358,60+,Unknown,1,9
359,36-45,Single,2,1
360,46-60,Divorced,3,1
361,26-35,Divorced,3,3
362,46-60,Single,3,9
363,26-35,Unknown,1,10
364,60+,Single,4,6
365,26-35,Single,2,6
366,36-45,Single,4,9
367,46-60,Unknown,4,4
368,36-45,Divorced,3,1
369,36-45,Unknown,3,5
370,60+,Divorced,4,5
371,36-45,Single,5,7
372,26-35,Divorced,1,6
373,46-60,Single,2,9
374,26-35,Divorced,1,3
375,36-45,Single,3,9
376,36-45,Married,2,1
377,18-25,Married,1,10
378,46-60,Single,2,12
379,18-25,Married,5,5
380,36-45,Divorced,3,9
381,26-35,Married,4,10
382,46-60,Single,1,3
383,26-35,Divorced,1,1
384,36-45,Single,4,11
385,26-35,Unknown,3,4
386,60+,Married,5,8
387,18-25,Single,2,10
388,26-35,Married,4,3
389,26-35,Married,5,7
390,26-35,Married,1,1
391,18-25,Divorced,4,1
392,18-25,Single,2,8
393,26-35,Married,2,5
394,18-25,Divorced,2,2
395,46-60,Single,3,1
396,36-45,Unknown,2,11
397,36-45,Married,4,12
398,46-60,Unknown,2,12
399,46-60,Married,2,3
400,36-45,Divorced,1,9
401,18-25,Single,4,3
402,46-60,Single,3,4
403,26-35,Single,4,8
404,26-35,Single,2,12
405,46-60,Unknown,2,7
406,46-60,Married,2,8
407,18-25,Married,4,12
408,18-25,Married,3,5
409,18-25,Single,5,5
410,36-45,Single,5,9
411,26-35,Single,5,8
412,26-35,Married,5,1
413,46-60,Single,3,3
414,18-25,Divorced,2,11
415,26-35,Unknown,5,7
416,36-45,Single,4,5
417,18-25,Single,3,9
418,36-45,Unknown,1,4
419,46-60,Married,3,4
420,26-35,Divorced,1,3
421,36-45,Unknown,3,3
422,18-25,Divorced,2,8
423,46-60,Single,1,11
424,60+,Unknown,3,11
425,60+,Unknown,1,11
426,46-60,Unknown,5,12
427,46-60,Divorced,2,10
428,46-60,Divorced,4,7
429,46-60,Divorced,1,9
430,46-60,Unknown,2,5
431,46-60,Unknown,1,9
432,46-60,Unknown,3,11
433,18-25,Unknown,4,3
434,18-25,Unknown,5,5
435,60+,Unknown,5,10
436,36-45,Married,3,6
437,60+,Single,5,11
438,46-60,Divorced,1,8
439,46-60,Single,3,12
440,46-60,Unknown,2,11
441,36-45,Unknown,4,2
442,60+,Unknown,2,6
443,46-60,Unknown,2,2
444,36-45,Married,2,1
445,18-25,Married,3,6
446,36-45,Single,4,12
447,60+,Divorced,4,12
448,26-35,Divorced,5,3
449,46-60,Unknown,2,10
450,36-45,Divorced,5,3
451,46-60,Single,1,6
452,60+,Married,1,9
453,36-45,Unknown,1,3
454,36-45,Divorced,3,3
455,36-45,Married,4,6
456,18-25,Single,4,11
457,26-35,Married,2,12
458,36-45,Divorced,2,3
459,46-60,Unknown,3,6
460,60+,Single,3,2
461,60+,Divorced,4,10
462,36-45,Single,2,12
463,26-35,Married,3,8
464,60+,Single,2,12
465,36-45,Divorced,2,12
466,60+,Divorced,3,6
467,60+,Single,1,11
468,60+,Unknown,3,7
469,60+,Divorced,1,6
470,36-45,Unknown,1,2
471,46-60,Unknown,5,12
472,18-25,Divorced,5,11
473,36-45,Married,3,1
474,18-25,Divorced,5,11
475,26-35,Married,2,6
476,18-25,Married,4,7
477,46-60,Divorced,4,5
478,60+,Single,4,5
479,36-45,Single,5,1
480,26-35,Unknown,5,10
481,18-25,Single,5,9
482,26-35,Divorced,5,11
483,36-45,Married,5,6
484,26-35,Single,5,1
485,46-60,Divorced,5,2
486,36-45,Single,2,9
487,26-35,Married,2,1
488,26-35,Divorced,2,8
489,18-25,Divorced,5,1
490,36-45,Unknown,1,6
491,36-45,Married,4,10
492,60+,Single,4,11
493,36-45,Divorced,3,11
494,18-25,Married,2,1
495,46-60,Unknown,3,1
496,26-35,Single,2,2
497,26-35,Divorced,3,3
498,60+,Divorced,3,2
499,60+,Single,1,3
500,60+,Divorced,3,5
501,18-25,Unknown,5,10
502,18-25,Married,2,6
503,26-35,Married,2,1
504,18-25,Married,4,7
505,60+,Divorced,5,2
506,46-60,Married,2,9
507,18-25,Divorced,5,3
508,60+,Single,1,10
509,18-25,Unknown,2,4
510,60+,Single,4,6
511,26-35,Married,4,8
512,18-25,Married,3,5
513,36-45,Unknown,1,12
514,26-35,Divorced,5,6
515,60+,Unknown,1,6
516,60+,Unknown,2,11
517,46-60,Unknown,3,3
518,36-45,Divorced,1,6
519,46-60,Married,1,12
520,36-45,Married,1,1
521,36-45,Unknown,4,5
522,46-60,Divorced,1,2
523,46-60,Unknown,5,8
524,26-35,Divorced,5,8
525,60+,Divorced,3,4
526,36-45,Unknown,3,10
527,46-60,Divorced,3,9
528,60+,Divorced,2,11
529,46-60,Single,2,10
